Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2019,AQS,350010023,1,0.2,ppm,2,DEL NORTE HIGH SCHOOL,19,79,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/2/2019,AQS,350010023,1,0.2,ppm,2,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/3/2019,AQS,350010023,1,0.5,ppm,6,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/4/2019,AQS,350010023,1,0.7,ppm,8,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/5/2019,AQS,350010023,1,0.7,ppm,8,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/6/2019,AQS,350010023,1,0.7,ppm,8,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/7/2019,AQS,350010023,1,0.4,ppm,5,DEL NORTE HIGH SCHOOL,18,75,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/8/2019,AQS,350010023,1,0.5,ppm,6,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/9/2019,AQS,350010023,1,0.7,ppm,8,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/10/2019,AQS,350010023,1,0.7,ppm,8,DEL NORTE HIGH SCHOOL,16,67,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/11/2019,AQS,350010023,1,0.4,ppm,5,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/12/2019,AQS,350010023,1,0.5,ppm,6,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/13/2019,AQS,350010023,1,0.2,ppm,2,DEL NORTE HIGH SCHOOL,18,75,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/14/2019,AQS,350010023,1,0.3,ppm,3,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/15/2019,AQS,350010023,1,0.5,ppm,6,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/16/2019,AQS,350010023,1,0.8,ppm,9,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/17/2019,AQS,350010023,1,0.6,ppm,7,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/18/2019,AQS,350010023,1,0.4,ppm,5,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/19/2019,AQS,350010023,1,0.2,ppm,2,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/20/2019,AQS,350010023,1,0.7,ppm,8,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/21/2019,AQS,350010023,1,0.8,ppm,9,DEL NORTE HIGH SCHOOL,18,75,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/22/2019,AQS,350010023,1,0.2,ppm,2,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/23/2019,AQS,350010023,1,0.3,ppm,3,DEL NORTE HIGH SCHOOL,24,100,42101,Carbon monoxide,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
