Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,40190005,1,1.2,ug/m3 LC,5,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/4/2020,AQS,40190005,1,1,ug/m3 LC,4,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/7/2020,AQS,40190005,1,1.1,ug/m3 LC,5,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/10/2020,AQS,40190005,1,1.5,ug/m3 LC,6,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/13/2020,AQS,40190005,1,2.2,ug/m3 LC,9,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/16/2020,AQS,40190005,1,5.9,ug/m3 LC,25,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/19/2020,AQS,40190005,1,2.1,ug/m3 LC,9,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/22/2020,AQS,40190005,1,1.7,ug/m3 LC,7,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/25/2020,AQS,40190005,1,1.7,ug/m3 LC,7,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/28/2020,AQS,40190005,1,1,ug/m3 LC,4,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
1/31/2020,AQS,40190005,1,0.8,ug/m3 LC,3,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/3/2020,AQS,40190005,1,4.4,ug/m3 LC,18,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/6/2020,AQS,40190005,1,1.7,ug/m3 LC,7,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/9/2020,AQS,40190005,1,2.8,ug/m3 LC,12,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/12/2020,AQS,40190005,1,1.1,ug/m3 LC,5,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/15/2020,AQS,40190005,1,1.5,ug/m3 LC,6,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/18/2020,AQS,40190005,1,2.7,ug/m3 LC,11,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/21/2020,AQS,40190005,1,4.2,ug/m3 LC,18,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/24/2020,AQS,40190005,1,2.8,ug/m3 LC,12,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
2/27/2020,AQS,40190005,1,1.3,ug/m3 LC,5,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/1/2020,AQS,40190005,1,2.9,ug/m3 LC,12,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/4/2020,AQS,40190005,1,1.7,ug/m3 LC,7,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/7/2020,AQS,40190005,1,2.4,ug/m3 LC,10,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/10/2020,AQS,40190005,1,1.5,ug/m3 LC,6,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/13/2020,AQS,40190005,1,1,ug/m3 LC,4,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/16/2020,AQS,40190005,1,1.5,ug/m3 LC,6,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/19/2020,AQS,40190005,1,2.2,ug/m3 LC,9,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/22/2020,AQS,40190005,1,2,ug/m3 LC,8,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/25/2020,AQS,40190005,1,1.5,ug/m3 LC,6,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
3/28/2020,AQS,40190005,1,1.7,ug/m3 LC,7,ORGAN PIPE NM,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,46060,"Tucson, AZ",4,Arizona,19,Pima,31.94999972,-112.801
